name,status,country_code,funding_total_usd,category_list
Foamix,ipo,ISR,60000000,Pharmaceuticals
HealOr,operating,ISR,15500000,Biotechnology
Kailight Photonics,operating,ISR,4500000,Web Hosting
Lumus,operating,ISR,6000000,Augmented Reality|Consumer Electronics|Hardware + Software|Technology
Mirage Innovations,operating,ISR,7500000,Hardware + Software
NeuroDerm,operating,ISR,18500000,Pharmaceuticals
NewCO2Fuels,operating,ISR,9000000,Energy|Oil
Origene Seeds,operating,ISR,10300000,Pre Seed
Pentalum Technologies,operating,ISR,15000000,Clean Technology
Pharma Two B,operating,ISR,8000000,Biotechnology
POCARED Diagnostics Ltd.,operating,ISR,15000000,Health Diagnostics|Medical Devices
RumbleTalk,operating,ISR,110000,Chat|Communities|Messaging
Sapiens International,ipo,ISR,22114147,Software
Shidonni,operating,ISR,1500000,Art|Education|Games|Kids|Virtual Worlds
Silentium,operating,ISR,13810000,Hardware + Software
FST Biometrics,operating,ISR,25000000,Public Safety|Security
HiNanTech Solutions,operating,ISR,3000000,Software
Ninox Medical,operating,ISR,15000000,Health Diagnostics|Medical|Medical Devices
Versafe,acquired,ISR,Nan,Finance|FinTech|Security|Telecommunications
Agent Video Intelligence,operating,ISR,14000000,Software
ASOCS,operating,ISR,18522536,Mobile|Networking
Barak ITC,operating,ISR,67000000,Web Hosting
BetaNanO2 Technologies,operating,ISR,2000000,Medical Devices
Ceedo Technologies,operating,ISR,4500000,Software|Virtualization
Chakratec,operating,ISR,2000000,Clean Technology|Environmental Innovation|Technology
Chess Vision,operating,ISR,500000,Educational Games|Games|Mobile
Edusoft,acquired,ISR,1000000,EdTech|Education
Emony,closed,ISR,1000000,Software
EnzySurge,operating,ISR,4100000,Biotechnology
Gilon Business Insight,acquired,ISR,Nan,Business Intelligence|Enterprises|Information Services
Mobideo Technologies,operating,ISR,Nan,Productivity Software
Optiway Ltd.,operating,ISR,2420000,Mobile
Scodix,operating,ISR,19000000,Hardware + Software
WakingApp,operating,ISR,5300000,Augmented Reality|Wearables
Zebra Medical Vision Ltd,operating,ISR,8000000,Computer Vision|Human Computer Interaction|Medical
WireX Cube Systems,operating,ISR,9300000,Cyber Security|Enterprises|Security
22seeds,closed,ISR,250000,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools
2B Angels,operating,ISR,Nan,
3DShook,operating,ISR,Nan,3D Printing|Consumer Goods|E-Commerce
6Scan,operating,ISR,Nan,Security
7 Elements Studios,operating,ISR,150000,Development Platforms|Games|Online Gaming
90sec Technologies,operating,ISR,100000,Apps|Consumer Electronics|Mobile|Social Media|Television|Weddings
ActionBase,operating,ISR,400000,Advertising|Business Development
Actus Digital,operating,ISR,3750000,Advertising|Big Data Analytics|Broadcasting|Cloud Computing|Digital Media|Enterprise Software|SaaS|Video Streaming
Advanced Ophthalmic Pharma,closed,ISR,2000000,Biotechnology
AllofMe,operating,ISR,Nan,Software
alooma,operating,ISR,Nan,Big Data|Enterprises
AlwaySupport,operating,ISR,300000,Customer Service|Customer Support Tools|Knowledge Management|Q&A|SaaS|Software
Aniwo,operating,ISR,100000,Finance|Online Gaming|Web Development
Any.DO,operating,ISR,4500000,Android|Browser Extensions|Events|iPhone|Mobile|Productivity Software|Utilities
AnybodyOutThere,operating,ISR,500000,Chat|Messaging
Appforma,operating,ISR,2200000,Advertising|Artificial Intelligence|Business Intelligence|Internet Marketing|Social Media Marketing
Applicaster,operating,ISR,10500000,Social Television|Video on Demand|Video Streaming
Applitools,operating,ISR,2500000,Software
AppMyDay,operating,ISR,Nan,Events|Mobile
Appoxee,acquired,ISR,1800000,Apps|Mobile
Appsee,operating,ISR,3000000,Mobile
Appwiz,operating,ISR,1400000,Advertising|Android|Mobile
Argus Cyber Security,operating,ISR,30000000,Automotive|Cyber Security
Askem,operating,ISR,1850000,Mobile
AudioPixels,operating,ISR,4000000,Semiconductors
Axerra Networks,acquired,ISR,17650000,Web Hosting
AxisMobile,acquired,ISR,3000000,Mobile
Axxana,operating,ISR,14000000,Security
Ayehu Software Technologies,operating,ISR,4148278,IT Management|Software
Bablic,operating,ISR,Nan,Software
Bazaart,operating,ISR,125000,Apps|iOS|iPad|iPhone|Mobile|Photo Editing|Photography|Social Media
Beamr,operating,ISR,9500000,Photography
BeInSync,acquired,ISR,8000000,Web Hosting
BetUknow,closed,ISR,750000,Public Relations|Sports
Beyond Verbal,operating,ISR,7100000,Analytics|Big Data|Cloud Computing|Health and Wellness|Internet of Things|Mobile|Personal Health
BidFlyer,operating,ISR,1000000,Application Platforms|Low Bid Auctions|Real Time
BioBlast Pharma,ipo,ISR,4750000,Biotechnology
BioGaming,operating,ISR,3800000,Fitness|Health and Wellness|Medical
BioLight Israeli Life Sciences Investments Ltd,ipo,ISR,10200000,Biotechnology|Health Diagnostics
Bizzabo,operating,ISR,4000000,Events|Location Based Services|Mobile|Networking|Social Media
BotanoCap,operating,ISR,4200000,Agriculture|Biotechnology|Cosmetics|Organic Food|Water Purification
Boxee,acquired,ISR,26500000,Software|Television
BuzzDoes,closed,ISR,750000,Advertising
Buzzilla,operating,ISR,2000000,Analytics|Social Media
Bvents,operating,ISR,200000,Curated Web|Events
Bwareit,closed,ISR,100000,
CNannario,acquired,ISR,5000000,Software
CallApp,operating,ISR,5000000,Mobile
Capitalise,operating,ISR,Nan,
Cato Networks,operating,ISR,20000000,Network Security
Cell Source,operating,ISR,145000,Biotechnology|Pharmaceuticals
CellMax,closed,ISR,2000000,
Cellrox,operating,ISR,4700000,Mobile
Ceragon Networks,ipo,ISR,17000000,Telecommunications|Web Hosting|Wireless
Check Point Software Technologies,ipo,ISR,Nan,Cyber Security|Data Security|Network Security|Security|Software|Trusted Networks
DiscoverCloud,operating,ISR,1250000,E-Commerce
ClarityRay,acquired,ISR,500000,Advertising|Fraud Detection|Security
CloudEndure,operating,ISR,5200000,Business Services|Cloud Computing|Enterprise Software|Homeland Security|SaaS
Cloudyn,operating,ISR,5500000,Cloud Computing|IaaS|Software
CodeMonkey Studios,operating,ISR,730000,EdTech|Education|Software
CodiPark,operating,ISR,285000,Apps|Internet|Mobile|Payments
CogMetal,operating,ISR,250000,B2B|E-Commerce|Manufacturing
Comfyware,operating,ISR,1200000,Education
Comilion,operating,ISR,2600000,Cyber Security
Commex Technologies,operating,ISR,11500000,Networking|Semiconductors
Compoze,operating,ISR,30000,Music
Contextors,operating,ISR,900000,Natural Language Processing
CoolaData,operating,ISR,7400000,Analytics|Big Data
CopperGate Communications,acquired,ISR,14500000,Semiconductors
CorePhotonics,operating,ISR,17800000,Semiconductors
CropX,operating,ISR,9000000,Agriculture
Crosswise,operating,ISR,5000000,Ad Targeting|Advertising|Big Data Analytics|Identity Management|Mobile Analytics|Online Identity
Cytegic,operating,ISR,3000000,Cyber Security|Intelligent Systems|IT and Cybersecurity|Risk Management|Security
Cyvera,acquired,ISR,13100000,Information Security|Security
DandyLoop,operating,ISR,160000,E-Commerce|Retail|Sales and Marketing
daPulse,operating,ISR,4100000,Collaboration|Project Management|Startups|Task Management
Desalitech,operating,ISR,22250000,Clean Technology
diggidi,operating,ISR,230000,Apps|Internet|Online Dating
Dome9 Security,operating,ISR,12800000,Cloud Computing|Cloud Security|Information Technology|Linux|Networking|Network Security|Security
DoNanza,closed,ISR,1000000,Curated Web|Design|Freelancers|Recruiting|Search|Writers
Dragonplay,acquired,ISR,14000000,Android|Games|Social Games
Dreame,operating,ISR,100000,Art|Humanitarian|Internet
Dronomy,operating,ISR,1500000,Clean Technology
Easy Social Shop,operating,ISR,1900000,E-Commerce|Fashion|Retail|Social Network Media
Eco Wave Power,operating,ISR,2000000,Clean Technology
Elasticode,operating,ISR,110000,Internet|Mobile|Real Time|Social Media
Elloria Medical Technologies,operating,ISR,1200000,Beauty|Health Care|Personal Health
emaze,operating,ISR,2800000,Design|Internet|Presentations|Software|Technology
Engie,operating,ISR,Nan,Apps
EqsQuest,operating,ISR,500000,Search
errnio,operating,ISR,Nan,Advertising|Mobile|Monetization|Web Tools
EventWith,operating,ISR,400000,Mobile
Evercompliant,operating,ISR,3500000,Cyber Security|FinTech|Fraud Detection|Security
EverythingMe,closed,ISR,35500000,Mobile|Web Development
Evolero,operating,ISR,900000,Event Management|Events|Networking|Social Media Marketing
Eyesquad,acquired,ISR,Nan,Design|Technology
Face.com,acquired,ISR,5300000,Photography
Familio,operating,ISR,Nan,Photography|Photo Sharing|Social Network Media
Fanzila,operating,ISR,1000000,Apps|Blogging Platforms|Facebook Applications|Forums|Sales and Marketing|Social Media|Software|Video|Web Tools
Farm Dog,operating,ISR,750000,Agriculture|Cloud Data Services|Farming|Internet of Things
FeedVisor,operating,ISR,7700000,E-Commerce|SaaS
Filtr8,operating,ISR,50000,Advertising|Content Discovery|Social Media Marketing
FireBlade,operating,ISR,5100000,Computers|Cyber Security|Network Security|Security
Fitfully,operating,ISR,510000,Computer Vision|E-Commerce|Machine Learning|Shoes
Fiverr.com,operating,ISR,111000000,Collaborative Consumption|Curated Web|Freelancers|Marketplaces|Outsourcing|Services|Task Management
MyRoll,acquired,ISR,2450000,Apps|Photography|Video|Video on Demand
FlexiCath,operating,ISR,754000,Medical Devices
Flixwagon,operating,ISR,2500000,Broadcasting|Mobile|Video|Video Streaming
fring Ltd,acquired,ISR,30000000,Developer APIs|Email|Facebook Applications|Messaging|Mobile|Search|Twitter Applications|VoIP|Wireless
Fringefy,operating,ISR,Nan,Technology
Funzing,operating,ISR,1500000,Communities|Entertainment|Leisure|Social Media
Genesis Operating System,operating,ISR,500000,Software
GetGems,operating,ISR,400000,Apps|Bitcoin|Messaging|Mobile Payments|Social Commerce|Virtual Currency
Getonic,operating,ISR,1300000,Curated Web
Gimao Networks,closed,ISR,300000,Curated Web|Facebook Applications|Social Media
Giraffic,operating,ISR,6500000,Consumer Electronics|Content|Software|Video|Video on Demand|Video Streaming
GlucoVista,operating,ISR,Nan,Health Care|Medical Devices
GoodyTag,operating,ISR,550000,Advertising|Apps|Coupons|Direct Marketing|Facebook Applications|Incentives|QR Codes|SEO|Social Media Advertising
GooodJob,operating,ISR,Nan,Mobile|Social Recruiting
Green Vision Systems,operating,ISR,5400000,Clean Technology
Greenlet Technologies,operating,ISR,541712,Clean Technology
GreenSQL,operating,ISR,14400000,Accounting|Security
GroopMeUp,operating,ISR,30000,Business Services|Networking|Social Media|Social Network Media
Groovideo,closed,ISR,Nan,Curated Web
GuardiCore,operating,ISR,11000000,Network Security|Security
HelpAround,operating,ISR,610000,Big Data|Diabetes|Health Care|Mobile Emergency&Health|Mobile Health
Hermes Innovation Ltd.,operating,ISR,Nan,Fashion|Internet of Things|Social Network Media|Wearables
Hexadite,operating,ISR,2500000,Security
Hingi,operating,ISR,3400000,Software
HIRO Media,operating,ISR,5000000,Advertising|Internet|Media|Video
Hubitus,operating,ISR,30000,All Students|Communities|Freelancers|Video Streaming
Hybrid Security,operating,ISR,500000,E-Commerce|Finance|Security|Telecommunications
I Am Real,operating,ISR,Nan,Consumer Lending|Cyber Security|Online Identity|Peer-to-Peer|Risk Management|Security
iAngels,operating,ISR,2250000,Crowdfunding|Finance|FinTech
iMedix Inc.,closed,ISR,2000000,Search
Immersia,operating,ISR,Nan,Apps|Games
INNOBI,operating,ISR,300000,Big Data|Enterprise Software|SaaS
InspireMD,ipo,ISR,24983103,Health Care
Interacting Technology,operating,ISR,2400000,Social Media Platforms|Social Network Media
Ioptima,operating,ISR,7200000,Medical Devices
ironSource,operating,ISR,105000000,Software
Jelly Button Games,operating,ISR,1500000,Social Games
Jinni,operating,ISR,7500000,Ad Targeting|Personalization|Semantic Search|Video on Demand
Jogli,closed,ISR,950000,Music
JoinTV,operating,ISR,Nan,E-Commerce|Social Media Marketing
Journeys,closed,ISR,600000,Curated Web|Travel|Virtual Worlds
JoyTunes,operating,ISR,7000000,Audio|EdTech|Education|Games|Music|SaaS
Kenshoo,operating,ISR,49660149,Advertising|Mobile Advertising|Search Marketing|Social Media Advertising
Kimonex,operating,ISR,Nan,B2B|Cloud Computing|SaaS
Kitchenbug,operating,ISR,Nan,Blogging Platforms|Browser Extensions|Software
LabOne Innovations,operating,ISR,3500000,
LabPixies,acquired,ISR,1000000,Curated Web|Web Tools
LATTO,operating,ISR,15000000,Computers|Enterprise Software|Mobile|Personalization|Tablets|Television|Video|Video on Demand|Video Streaming
Libox,closed,ISR,2000000,Curated Web|File Sharing|Media|Peer-to-Peer|Photo Sharing|Synchronization|Video
LifeBEAM,operating,ISR,2700000,Biotechnology|Fitness|Health Care
Lingua.ly,operating,ISR,1500000,EdTech|Education|Language Learning
Logz.io,operating,ISR,9200000,Analytics|Big Data Analytics|Enterprises
Lynxguard,operating,ISR,Nan,Security
Mabaya,operating,ISR,1200000,Big Data|E-Commerce|Marketing Automation|Monetization|Retail|Software
Make My plate,operating,ISR,835000,Consumers|Health and Wellness|Lifestyle|Nutrition
Matomy Media Group,ipo,ISR,17000000,Advertising|Digital Media|Mobile|Online Video Advertising|Search Marketing|Social Media Advertising|Virtual Currency
Meaningo,operating,ISR,150000,Data Mining|Text Analytics
MedyMatch,operating,ISR,Nan,Crowdsourcing|Diagnostics|Health Diagnostics|Medical|Medical Devices
Meekan,operating,ISR,870000,Email|Mobile|Mobile Enterprise|Online Scheduling|Productivity Software
MeteoNanLogic,operating,ISR,3000000,Algorithms|Big Data|Commodities|Energy|Machine Learning|Trading
Minerva Labs,operating,ISR,Nan,Security
Minute.,operating,ISR,4000000,Internet|Optimization|Video
Mipso,operating,ISR,1500000,E-Commerce|Fashion|Retail|SaaS|Software
MobileOCT,operating,ISR,Nan,Biotechnology|Digital Media|Health Care
Mobiwol Ltd,operating,ISR,500000,Mobile Security
mobli,operating,ISR,86045000,Curated Web|iPhone|Media|Mobile|Photography|Real Time|Social Media|Transportation|Video
Moments.me,operating,ISR,300000,Photography
Moolta,operating,ISR,Nan,Colleges|Curated Web|Sales and Marketing|Social Network Media|Video
Mximo,operating,ISR,500000,B2B|E-Commerce|Fashion|Mobile Commerce
MyCheck,operating,ISR,11100000,Mobile
Neboola,operating,ISR,Nan,Collaboration|Location Based Services|Social + Mobile + Local
Newvem,acquired,ISR,4000000,Cloud Computing|Enterprise Software|Security
Nextpeer,acquired,ISR,2900000,Games|iOS|Mobile|Mobile Games|Social Games
Niio,closed,ISR,850000,Art|Consumer Electronics|Digital Entertainment|Digital Media|HDTV|Marketplaces|Video
Notal Vision,operating,ISR,4000000,Medical Devices
NoviSign,operating,ISR,200000,Advertising|Android|Broadcasting|Digital Signage|Games|Mobile|Software
Nutrino,operating,ISR,Nan,Developer APIs|Health and Wellness|Mobile Health|Nutrition
Omgili,operating,ISR,600000,Content|Forums|Reviews and Recommendations|Search
Orckit Communications,ipo,ISR,5000000,Mobile|Networking|Telecommunications
OurCart,operating,ISR,1400000,Consumer Goods|Mobile Shopping
Overwolf,operating,ISR,5500000,FreetoPlay Gaming|Games|Social Games|Social Media
PacketLight,operating,ISR,18000000,Telecommunications
Parko,operating,ISR,1000000,Crowdsourcing|Navigation|Parking
Peakardo,operating,ISR,225000,Cloud Infrastructure|Digital Media|E-Commerce|Internet|Marketplaces|SaaS
Perception Point,operating,ISR,2000000,Cyber Security|Information Security|Network Security
Pixellot,operating,ISR,4900000,Broadcasting|Television|Video Streaming
Pixplit,operating,ISR,400000,Mobile
Platfarm,operating,ISR,118000,Agriculture|SaaS|Services
Platform Orthopedic Solutions,operating,ISR,30000,3D Technology|Health Care|Manufacturing
PlayArt Labs,operating,ISR,100000,Games
Playbuzz,operating,ISR,19800000,B2B|Digital Media|Entertainment
PlayScape,operating,ISR,15400000,Games
Playtika,acquired,ISR,1500000,Entertainment|Games|Social Games
PLYmedia,operating,ISR,5700000,Advertising|Advertising Networks|Advertising Platforms|Mobile Advertising|Performance Marketing|SaaS
Pollsb,closed,ISR,2000000,Identity|Market Research|Polling|Reviews and Recommendations|Social Network Media|Surveys|Web Hosting
Pops,closed,ISR,1500000,Mobile|Personalization
Pose,operating,ISR,1750000,CRM|Enterprises|Internet|Local Businesses|Point of Sale|Retail|SaaS|Small and Medium Businesses|Web Development
PostalGuard,operating,ISR,4000000,Software
Preen.Me,operating,ISR,800000,Beauty|Consumer Internet|E-Commerce|Social Commerce|Women
Prezma,operating,ISR,500000,Advertising|Facebook Applications|Social Media
PrimeSense,acquired,ISR,29400000,3D|Hardware|Hardware + Software|Sensors
QRuso,operating,ISR,Nan,Analytics|Apps|Curated Web|Mobile|Web CMS|Web Development
Quando Technologies,operating,ISR,150000,Curated Web|E-Commerce|Marketplaces|Mobile|Social Media
Radcom,ipo,ISR,8000019,Software|Telecommunications|VoIP
RADLIVE,closed,ISR,7650000,Hardware + Software
RADWIN,operating,ISR,Nan,Communications Hardware|Communications Infrastructure|Mobile|Telecommunications|Wireless
Ramot,operating,ISR,23500000,Travel
RankAbove,operating,ISR,Nan,Search Marketing|SEO|Software
Reduxio,operating,ISR,26900000,Web Hosting
Remini,operating,ISR,200000,Apps|Child Care|Education|Parenting|Teachers
RePark Social Parking,operating,ISR,100000,Collaborative Consumption|Mobile Payments|Parking
Riskified,operating,ISR,5650000,E-Commerce|Fraud Detection
RiT Technologies Ltd.,ipo,ISR,25329104,Communications Infrastructure
Rollout.io,operating,ISR,2000000,Apps|Internet|Mobile
Roomixer,operating,ISR,500000,Advertising|B2B|Hotels|Travel|Vacation Rentals
Rounds,operating,ISR,17000000,Chat|Entertainment|Video Chat
RoutePerfect,operating,ISR,Nan,Curated Web|Travel
Routier,operating,ISR,20000,Advertising Platforms|Cloud Data Services|Communications Infrastructure|Hospitality|Payments|Promotional|Transportation
Safend,acquired,ISR,16400000,Enterprise Software
SalesFloor.it,operating,ISR,Nan,Marketplaces|Retail|Sales Automation
Samba.me,operating,ISR,1630000,Messaging
Scalock,operating,ISR,4000000,Cyber Security|Security|Software|Virtualization
Scoreoid,operating,ISR,100000,B2B|Games
SCREEMO,operating,ISR,Nan,Advertising|Digital Media|Digital Signage|Enterprise Software|Mobile
Seeblings,operating,ISR,Nan,Gift Card|Mobile|Video
Sensibo,operating,ISR,735000,Consumer Electronics|Environmental Innovation|Green Building|Home Automation|Internet|Internet of Things|Mobile|Mobile Devices|Smart Building
Shook,closed,ISR,Nan,E-Commerce|Marketplaces|Social Media
Shopetti,operating,ISR,Nan,Consumer Internet|E-Commerce|Shopping
Shoptagr,operating,ISR,Nan,E-Commerce|Productivity Software
Sidekick Games,operating,ISR,150000,Application Platforms|Development Platforms|Games
Silent Communication,operating,ISR,5000000,Mobile
Sirin Mobile Technologies,operating,ISR,25000000,Mobile|Mobile Devices|Mobile Enterprise|Technology
Social Studios,operating,ISR,3800000,Promotional|Social Television|Software|Television
Soluto,acquired,ISR,18000000,Software
SolView,operating,ISR,700000,Solar
Somoto,operating,ISR,700000,Advertising|Software
SOOMLA,operating,ISR,5500000,Games|Mobile|Mobile Analytics|Mobile Games|Open Source|Predictive Analytics|Video Games|Virtual Goods
Sparkeo,operating,ISR,Nan,Enterprise Software
SpeakingPal,operating,ISR,1000000,EdTech|Education|English-Speaking|Language Learning
Splacer,operating,ISR,1400000,Events
Split,operating,ISR,1000000,Curated Web
SQream Technologies,operating,ISR,7400000,Analytics|Big Data|Business Intelligence|Enterprise Software|Geospatial
start A FIRE,operating,ISR,1100000,Curated Web
SteadyMed Therapeutics,ipo,ISR,15400122,Health Care|Pharmaceuticals
Stevie,operating,ISR,2100000,Social Media|Social Television|Television
Stix Games,closed,ISR,Nan,Online Gaming|Social Games|Social Network Media
StreamRail,operating,ISR,Nan,Analytics|SaaS|Technology|Video|Video Streaming
SuperDerivatives,acquired,ISR,20000000,Analytics|Finance|FinTech|Information Services|Internet|Risk Management
SwarmBuild,operating,ISR,20000,3D Printing|E-Commerce|Hardware|Internet|Manufacturing|Product Design
TVibes,operating,ISR,1000000,File Sharing|Video|Video Streaming
Takipi,operating,ISR,4500000,Analytics
Talking Layers,operating,ISR,Nan,Content|Publishing|Social Media|Social Network Media
Tap2print,operating,ISR,150000,Apps|Innovation Management|Moneymaking
Crowdx,operating,ISR,3000000,Crowdsourcing|Mobile|Software|Wireless
Techtium,operating,ISR,15000000,Semiconductors
Telesofia Medical,operating,ISR,1000000,Data Mining|Document Management|Medical|Video
The Box,operating,ISR,Nan,Advertising|Mobile|Television
The Box,closed,ISR,Nan,
The Gifts Project,acquired,ISR,1000000,E-Commerce|Entertainment|Facebook Applications|Gift Card|Private Social Networking|Social Commerce|Social Network Media
TheTime,operating,ISR,2000000,
TicTacTi,operating,ISR,1600000,Advertising|Games|Publishing|Video|Web Tools
TinyTap,operating,ISR,1500000,Apps|Babies|Creative|Education|Entertainment|Hardware|Health and Wellness|iPad|Kids|Photography
TipRanks,operating,ISR,3000000,Finance|SEO|Stock Exchanges
Toonimo,operating,ISR,2500000,Advertising|Graphics|Optimization|Software
Total Boox,operating,ISR,500000,Apps|E-Books|Internet|Software
TouchSpin Gaming AG,operating,ISR,1150000,FreetoPlay Gaming|Gambling|Mobile Games|Social Games
TourPal,operating,ISR,1950000,iOS|iPhone|Maps|Travel
TradAir,operating,ISR,18900000,Finance
Tradeo,operating,ISR,1000000,Social Media
TripTouch,operating,ISR,Nan,Events|Travel|Web Design
Tvinci,acquired,ISR,6100000,Games|Internet TV|Mobile Video|Television|Video|Video Streaming
Ubimo,operating,ISR,9500000,Mobile
United Parents Online Ltd,operating,ISR,900000,Software
Unomy,operating,ISR,Nan,Business Intelligence|Enterprise Software|Lead Generation|Sales and Marketing
User1st,closed,ISR,1000000,Internet|Software
VATBox,operating,ISR,24000000,Finance|Finance Technology|SaaS
Vectorious Medical Technologies,operating,ISR,5000000,Medical Devices
Veeda,closed,ISR,Nan,Content|Curated Web|Personalization|Semantic Web
VIDEOF.ME,operating,ISR,Nan,Events|Sports
Videostir,operating,ISR,797203,Personalization|Video|Web Tools
Vidit,operating,ISR,Nan,Crowdsourcing|Events|Games|Social Media|Synchronization|Video
Vigilant Technology,operating,ISR,394000,Hardware + Software
Visualead,operating,ISR,7350000,Advertising
Vodio Labs,operating,ISR,944814,iPad|Photography|Video
VtagO,closed,ISR,25000,Software|Video
W.S.C. Sports,operating,ISR,Nan,Sports
WakeApp Nan Mornings just got better,operating,ISR,75000,Music|Social Media|Utilities
Waveit,closed,ISR,125000,Apps
Webydo.,operating,ISR,13400000,Design|Web Design
Wedivite,operating,ISR,Nan,Event Management|Events|Photo Sharing|Social Media|Weddings
WeissBeerger,operating,ISR,7500000,Analytics|Craft Beer|Information Technology|Internet of Things
Wheeldo,operating,ISR,Nan,Content|Email Marketing|Gamification|Internet Marketing|Software
Wibki,operating,ISR,125000,Curated Web|Gamification|Social Bookmarking|Social Media
Windward,operating,ISR,15800000,Big Data Analytics
Winkapp,operating,ISR,Nan,Advertising|Mobile|Publishing|Telecommunications
Wisair,closed,ISR,55833663,Semiconductors
WiseStamp,operating,ISR,Nan,Brand Marketing|Browser Extensions|Email|Messaging|Social Media Advertising|Web Browsers
Wix,ipo,ISR,58500000,Curated Web|Design|Internet|Software|Web Design|Web Tools
WorkWith.me,closed,ISR,250000,Career Management|Human Resources|Recruiting|Social Recruiting
Worldclass,operating,ISR,800000,Apps|Mobile|Online Education|SaaS
Xplenty,operating,ISR,3000000,Big Data|Big Data Analytics|Business Intelligence|Cloud Computing|Data Integration|Enterprise Software|SaaS|Software
YaData,acquired,ISR,4300000,Advertising|Analytics
yapQ,operating,ISR,100000,Apps|Guides|Navigation|Travel & Tourism
Yedda,acquired,ISR,2500000,Media|Social Media
yes.no,closed,ISR,1000000,Q&A|Social Network Media
Yoovi,operating,ISR,200000,Photography|Social Media
Yotpo,operating,ISR,28000000,E-Commerce|Reviews and Recommendations|Social Commerce
YouLicense,operating,ISR,1100000,Marketplaces|Music|Social Media
YouTab,operating,ISR,2200000,Games|Music
Zeek,operating,ISR,3000000,E-Commerce|Mobile Commerce
Zikk Software Ltd.,operating,ISR,Nan,Crowdsourcing|Mobile|Networking
Zirra,operating,ISR,700000,Angels|Crowdfunding|Investment Management|Venture Capital
Zoliro,operating,ISR,Nan,Brand Marketing|Event Management|Events|Sponsorship
ZRRO,operating,ISR,2500000,Electronics
WikiBrains,operating,ISR,750000,Data Visualization|Digital Media
Accelario,operating,ISR,300000,Big Data|Databases|Information Technology
Adience,operating,ISR,1500000,Advertising|Mobile
Aniways,operating,ISR,1190000,Advertising|Chat|Messaging|Mobile|Social Media
Bliinder,operating,ISR,10000,Match-Making|Online Dating|Social Network Media
GamEffective,operating,ISR,3000000,Enterprise Software
Gauzy,operating,ISR,4000000,Manufacturing
Gigantt,operating,ISR,500000,Career Planning|Productivity Software|Project Management|Software
illusive networks,operating,ISR,27000000,Network Security
Movli,operating,ISR,1500000,Entertainment|Film|Games|Search|Social Network Media
Percepto,operating,ISR,1000000,Hardware|Mechanical Solutions|Software
Personalics,operating,ISR,Nan,Social Media
righTune,operating,ISR,600000,B2B|E-Commerce|Messaging|Music|Weddings
SeatID,operating,ISR,1000000,Social Media|Social Search|Travel
SHOWBOX,operating,ISR,8000000,Games|Internet|Software|Video
TabTale,operating,ISR,13500000,Games
Team8,operating,ISR,18000000,Cyber Security
Tingz.me,operating,ISR,Nan,Big Data|Internet|Mobile
Vascular Graft Solutions,operating,ISR,4800000,B2B|Healthcare Services|Hospitals|Medical Devices
Vidmind,operating,ISR,30000000,Android|Software|Television|Video|Video Streaming
Wikiwand,operating,ISR,600000,Education|Internet|Mobile|Productivity Software
SparkupReader,operating,ISR,150000,Consumer Electronics|Internet|Kids
MeMed,operating,ISR,Nan,Health Care|Health Diagnostics
Enertec Systems,operating,ISR,2800000,Manufacturing
Pixer Technology,operating,ISR,8700000,Semiconductors
CureTech,operating,ISR,4000000,Biotechnology
EnStorage,operating,ISR,17950000,Clean Technology
Highcon,operating,ISR,21373000,Consumer Goods|Manufacturing|Service Providers
MediWound,ipo,ISR,18000000,Biotechnology|Hospitals|Medical
NanoMaterials,operating,ISR,5000000,Nanotechnology
Polyheal,operating,ISR,1000000,Health Care
Avraham Pharmaceuticals,operating,ISR,22200000,Biotechnology
TaKaDu,operating,ISR,6000000,Clean Technology|Smart Grid
Vayyar,operating,ISR,12000000,3D|Mobile|Sensors
Celletra,acquired,ISR,5700000,Public Relations
CoreFlow,operating,ISR,3200000,Manufacturing
DefenSoft,operating,ISR,Nan,Security
Fashioholic,operating,ISR,1000000,Games
hoozin,operating,ISR,720000,Apps|Messaging|Mobile|Social Media
Imperative Networks,operating,ISR,2000000,Web Hosting
Kytera,operating,ISR,Nan,Health and Wellness|Health Care
MST,operating,ISR,13500000,Medical Devices|Technology
NEURONIX,operating,ISR,5500000,Health Care
NewACT,operating,ISR,6500000,Mobile
Oplus Technologies,acquired,ISR,10000000,Semiconductors
ReNanSec Technologies,operating,ISR,850000,B2B|Cloud Security|Cyber Security
RealView Imaging,operating,ISR,10000000,Health Care
Saguna Networks,operating,ISR,3200000,Mobile
Tevet Process Control Technologies,operating,ISR,2750000,Semiconductors
VocalZoom,operating,ISR,12700000,Audio|Biometrics|New Technologies|Sensors|Speech Recognition|Wireless
Whole Optics,closed,ISR,5000000,Semiconductors
SolariPhy,operating,ISR,3000000,Energy|Environmental Innovation|Solar
8hands,closed,ISR,1500000,Messaging|Public Relations|Social Media
Aniboom,operating,ISR,14500000,Collaboration|Games|Video
Appixia,closed,ISR,Nan,E-Commerce
Arava Power,operating,ISR,20000000,Clean Technology|Energy
Arideas,operating,ISR,80000,Advertising|Augmented Reality
Availo,operating,ISR,500000,Cloud Data Services|Mobile Enterprise
Bringg,operating,ISR,2500000,Software|Startups
Pounce,acquired,ISR,Nan,Bridging Online and Offline|E-Commerce|Mobile Commerce|Mobile Payments
